audio_path,Before Finetuning Transcription,Finetuned_Transcription,XTTS_FineTuned_Transcription,Piper_FineTuned_Transcription,VITS_FineTuned_Transcription,Ground Truth,BF_CER,Blade_Semantic_BF,Blade_Semantic_Finetuned,Blade_Semantic_XTTS_FineTuned,Blade_Semantic_Piper_FineTuned,Blade_Semantic_VITS_FineTuned
2024_07_07 17_28_07 i-NOcQ.wav,"I would like to try three sopes corn arwoes, re jollies, please. Could you add the pastor as a modifier for me? Thank you.","I would like to try three sopes corn aros Vri-Free Jolis, please. Could you add the pastor as a modifier for me? Thank you.","I would like to try three soapyscon Arvoli three short-to-three jollies. Please, could you add the pastoral as a modifier for me? Thank you.",I would like to try three soaps con aros why Irolean three free jollies please. Could you add the pastoral as a modifier for me? Thank you.,"I would like to try three soaps con aros three short-to-three jollies. Please, could you add the pastoral as a modifier for me? Thank you.","I would like to try three Sopes Con Arroz Y Frijoles, please. Could you add the Pastor as a modifier for me? Thank you!",0.084745763,0.907951906,0.907964253,0.810008471,0.761364494,0.7740045271317976
2024_07_07 17_28_36 0gOJIA.wav,I will take a turkey sandwich on a toasted bagel and some crispy potato chips please.,I will take a turkey sandwich on a toasted bagel and some crispy potato chips please., I will take a turkey sandwich on a toasted bagel and some crispy potato chips please.,I will take a turkey sandwich on a toasted bagel and some crispy potato chips please.,I will take a turkey sandwich on a toasted bagel and some crispy potato chips please.,"I will take a turkey sandwich on a toasted bagel and some crispy potato chips, please.",0.011764706,0.999999995,0.999999995,0.999999995,0.999999995,0.9999999951380433
2024_07_08 05_53_44 d25glQ.wav,"I would love to start off with the anti-pasteo salad, but could you please dress it lightly with some high quality olive oil?","I would love to start off with the anti-pesto salad, but could you please dress it lightly with some high quality olive oil?"," I would love to start off with the anti-pesto salad, but could you please dress it lightly with some high quality olive oil?"," I would love to start off with the anti-pesto salad, but could you please dress it lightly with some high quality olive oil?","I would love to start off with the anti-pesto salad, but could you please dress it lightly with some high quality olive oil?","""I would love to start off with the Antipasto Salad, but could you please dress it lightly with some high-quality olive oil?""",0.024590164,0.984498654,0.962940153,0.962940153,0.962940153,0.9629401527052698
2024_07_08 05_54_44 POf5EQ.wav,"Could I get a Coca-Cola zero in a 12-ounce can and a chef sat with Caesar dressing, please?",Could I get a Coca-Cola Zorro in a 12 ounce can and a chef's salad with Caesar dressing please?,Could I get a Coca-Cola Ciro in a 12 ounce can and a chef salad with Caesar dressing please?,Could I get a Coca-Cola Zero in a 12 ounce can and a chef's salad with Caesar dressing please?,Could I get a Coca-Cola-Cola'sero and a 12 ounce can I have a chef salad with Caesar dressing please?,"Could I get a Coca-Cola Zero in a 12 oz can and a Chef's Salad with Caesar Dressing, please?",0.10989011,0.94739061,0.954937254,0.940079812,0.998704849,0.9341634599427066
2024_07_08 06_22_51 4-GR1w.wav,I would like to order a buffalo chicken sandwich served over a fresh salad and also could I get a small portion of garlic bread with cheese on the side.,I would like to order a buffalo chicken sandwich served over a fresh salad and also could I get a small portion of garlic bread with cheese on the side., I would like to order a buffalo chicken sandwich served over a fresh salad and also could I get a small portion of garlic bread with cheese on the side.,I would like to order a buffalo chicken sandwich served over a fresh salad and also could I get a small portion of garlic bread with cheese on the side.,I would like to order the buffalo chicken sandwich served over a fresh salad and also could I get a small portion of garlic bread with cheese on the side?,"I would like to order a buffalo chicken sandwich served over a fresh salad, and also could I get a small portion of garlic bread with cheese on the side?",0.006578947,0.999999983,0.999999983,0.999999983,0.999999983,0.9988774574104716
2024_07_08 06_39_14 BtEdiQ.wav,Can I have a hamburger with mayonnaise on it?,Can I have a hamburger with mayonnaise on it?,Can I have a hamburger with mayonnaise on it?,Can I have a hamburger with mayonnaise on it?,Can I have a hamburger with mayonnaise on it?,Can I have a hamburger with mayonnaise on it?,0.0,1.0,1.0,1.0,1.0,1.0
2024_07_09 08_43_05 5FS02w.wav,Could I have a plate of Bucatini Carbonara please? No additional modifiers needed for me today. Thank you.,Could I have a plate of Bucatini Carbonara please? No additional modifiers needed for me today. Thank you.,"Could I have a plate of Bucatini Carbonara, please? No additional modifiers needed for me today. Thank you.","Could I have a plate of Bucatini Calvona? Please, no additional modifiers needed for me today. Thank you.",Could I have a plate of Bucatini Carbonara please? No additional modifiers needed for me today. Thank you.,"Could I have a plate of Bucatini Carbonara, please? No additional modifiers needed for me today. Thank you!",0.009433962,1.0,1.0,1.0,0.95896754,1.0
2024_07_09 09_24_47 rQPcmw.wav,Please give me chicken calzone served with a siph fresh crisp cream salad on the side. Thank you.,Please give me chicken calzone served with a sife fresh crisp green salad on the side. Thank you.,Please give me chicken calizone served with a side fresh crisp bean salad on the side thank you,Please give me chicken calizone served with a side fresh crisp cream salad on the side thank you,Please give me chicken calizone served with a side fresh crisp bean salad on the side thank you,"Please give me a chicken calzone served with a side of fresh, crisp green salad on the side. Thank you!",0.107843137,0.962927329,0.985562095,0.910012966,0.928879382,0.9100129661280895
2024_07_09 09_28_51 Z5wUqw.wav,I need a toaster with green chili pork and mixed grill served with fries chili limestone.,I need a toasterda with green chili pork and mixed grilled served with fries chili lime style., I need a toaster with green chili pork and mixed grilled served with fries chili lime style.,I need a to start a green chili bowl and mixed grilled fries chili lime style.,I need a toaster with green chili pork and mixed grain serve with fries chili lime style.,"I need a Tostada with Green Chile Pork and a Mixed Grill served with Fries, Chili-Lime style.",0.130434783,0.855712981,0.881100741,0.846022933,0.825268618,0.8078929856861709
2024_07_09 09_40_46 Gt-v1w.wav,Could you please serve me a Jimmy Changa with rank dressing on one side and another Jimmy Changa top with steak? Thank you.,Could you please serve me a Chimichanga with rank dressing on one side and another Chimichanga top with steak? Thank you.,Could you please serve me a chimichunga with rank dressing on one side and another chimichanga talk with steak. Thank you.,Could you please serve me a chimichanga with rang dressing on one side and another chimichanga talk with steak. Thank you.,Could you please have me a chimichanga with rancorous dressing on one side and another chimichanga top with steak? Thank you.,Could you please serve me a chimichanga with ranch dressing on one side and another chimichanga topped with steak? Thank you.,0.120967742,0.835888762,0.972743656,0.940450778,0.967769676,0.946268303172433
