audio_path,Before_Finetuning_transcription,Finetuned_transcription,ground_truth,BF_CER,BF_WER,AF_CER,AF_WER,Blade_Semantic_BF,Blade_Semantic_AF,MiniLM-L6_Semantic_BF,MiniLM-L6_Semantic_AF
2024_07_07 17_28_07 i-NOcQ.wav,"I would like to try three sopes corn arwoes, re jollies, please. Could you add the pastor as a modifier for me? Thank you.","I would like to try three sopes corn aros Vri-Free Jolis, please. Could you add the pastor as a modifier for me? Thank you.","I would like to try three Sopes Con Arroz Y Frijoles, please. Could you add the Pastor as a modifier for me? Thank you!",0.084745763,0.166666667,0.093220339,0.166666667,0.9079519060415507,0.9079642531054394,0.7998685359837328,0.8235976240275199
2024_07_07 17_28_36 0gOJIA.wav,I will take a turkey sandwich on a toasted bagel and some crispy potato chips please.,I will take a turkey sandwich on a toasted bagel and some crispy potato chips please.,"I will take a turkey sandwich on a toasted bagel and some crispy potato chips, please.",0.011764706,0.0625,0.011764706,0.0625,0.9999999951380433,0.9999999951380433,1.0,1.0
2024_07_08 05_53_44 d25glQ.wav,"I would love to start off with the anti-pasteo salad, but could you please dress it lightly with some high quality olive oil?","I would love to start off with the anti-pesto salad, but could you please dress it lightly with some high quality olive oil?","""I would love to start off with the Antipasto Salad, but could you please dress it lightly with some high-quality olive oil?""",0.024590164,0.136363636,0.024590164,0.136363636,0.9844986540003969,0.9629401527052698,0.9796901029071343,0.9484329788942938
2024_07_08 05_54_44 POf5EQ.wav,"Could I get a Coca-Cola zero in a 12-ounce can and a chef sat with Caesar dressing, please?",Could I get a Coca-Cola Zorro in a 12 ounce can and a chef's salad with Caesar dressing please?,"Could I get a Coca-Cola Zero in a 12 oz can and a Chef's Salad with Caesar Dressing, please?",0.10989011,0.210526316,0.076923077,0.157894737,0.947390609521908,0.9549372535922858,0.9121749401092529,0.9217050122198471
2024_07_08 06_22_51 4-GR1w.wav,I would like to order a buffalo chicken sandwich served over a fresh salad and also could I get a small portion of garlic bread with cheese on the side.,I would like to order a buffalo chicken sandwich served over a fresh salad and also could I get a small portion of garlic bread with cheese on the side.,"I would like to order a buffalo chicken sandwich served over a fresh salad, and also could I get a small portion of garlic bread with cheese on the side?",0.006578947,0.033333333,0.006578947,0.033333333,0.9999999830151023,0.9999999830151023,1.0,1.0
2024_07_08 06_39_14 BtEdiQ.wav,Can I have a hamburger with mayonnaise on it?,Can I have a hamburger with mayonnaise on it?,Can I have a hamburger with mayonnaise on it?,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2024_07_09 08_43_05 5FS02w.wav,Could I have a plate of Bucatini Carbonara please? No additional modifiers needed for me today. Thank you.,Could I have a plate of Bucatini Carbonara please? No additional modifiers needed for me today. Thank you.,"Could I have a plate of Bucatini Carbonara, please? No additional modifiers needed for me today. Thank you!",0.009433962,0.055555556,0.009433962,0.055555556,1.0,1.0,1.0,1.0
2024_07_09 09_24_47 rQPcmw.wav,Please give me chicken calzone served with a siph fresh crisp cream salad on the side. Thank you.,Please give me chicken calzone served with a sife fresh crisp green salad on the side. Thank you.,"Please give me a chicken calzone served with a side of fresh, crisp green salad on the side. Thank you!",0.107843137,0.25,0.068627451,0.2,0.9629273285688847,0.9855620953061033,0.9236177802085876,0.9580896546733859
2024_07_09 09_28_51 Z5wUqw.wav,I need a toaster with green chili pork and mixed grill served with fries chili limestone.,I need a toasterda with green chili pork and mixed grilled served with fries chili lime style.,"I need a Tostada with Green Chile Pork and a Mixed Grill served with Fries, Chili-Lime style.",0.130434783,0.352941176,0.108695652,0.411764706,0.8557129805047244,0.8811007406355748,0.7842490182145584,0.8316905297864174
2024_07_09 09_40_46 Gt-v1w.wav,Could you please serve me a Jimmy Changa with rank dressing on one side and another Jimmy Changa top with steak? Thank you.,Could you please serve me a Chimichanga with rank dressing on one side and another Chimichanga top with steak? Thank you.,Could you please serve me a chimichanga with ranch dressing on one side and another chimichanga topped with steak? Thank you.,0.120967742,0.285714286,0.040322581,0.095238095,0.8358887615624004,0.9727436560307854,0.7873157985618249,0.9390422738169285
